Date,Week,Unit Sales,"% ACV, Disp Only","% ACV, Feat Only","% ACV, TPR Only",ACV Wtd Dist,Avg Items per Store,Avg Price/Unit
"1 Week Ending Jan 5, 2003",1,"2,933,428",34.37,53.72,64.41,98.77,30.92,3.57
"1 Week Ending Jan 12, 2003",2,"2,913,314",38.40,31.93,63.74,99.05,30.54,3.57
"1 Week Ending Jan 19, 2003",3,"3,079,406",41.04,37.47,60.50,98.94,30.21,3.51
"1 Week Ending Jan 26, 2003",4,"2,788,624",37.90,29.79,62.40,98.82,30.06,3.52
"1 Week Ending Feb 2, 2003",5,"2,892,597",43.75,48.20,68.72,98.81,30.57,3.53
"1 Week Ending Feb 9, 2003",6,"2,977,078",45.71,34.80,68.81,98.89,31.01,3.58
"1 Week Ending Feb 16, 2003",7,"2,917,030",43.84,31.29,67.30,98.86,30.39,3.55
"1 Week Ending Feb 23, 2003",8,"2,845,087",39.42,35.81,65.88,98.74,29.99,3.52
"1 Week Ending Mar 2, 2003",9,"2,985,116",41.88,47.96,64.86,98.80,30.29,3.59
"1 Week Ending Mar 9, 2003",10,"2,850,303",44.80,38.09,64.86,98.83,29.84,3.57
"1 Week Ending Mar 16, 2003",11,"2,777,654",45.73,32.60,64.07,98.85,29.50,3.54
"1 Week Ending Mar 23, 2003",12,"2,753,424",43.53,28.25,65.67,98.71,29.24,3.48
"1 Week Ending Mar 30, 2003",13,"2,766,171",41.47,38.19,65.93,98.87,29.31,3.46
"1 Week Ending Apr 6, 2003",14,"2,880,803",43.24,37.58,67.06,98.70,29.84,3.49
"1 Week Ending Apr 13, 2003",15,"2,726,304",41.64,40.40,63.45,98.65,29.27,3.53
"1 Week Ending Apr 20, 2003",16,"2,674,494",39.55,30.87,64.48,98.76,29.46,3.54
"1 Week Ending Apr 27, 2003",17,"2,520,969",41.22,36.77,57.38,98.83,28.84,3.58
"1 Week Ending May 4, 2003",18,"2,741,026",42.10,30.00,66.33,98.77,29.92,3.49
"1 Week Ending May 11, 2003",19,"2,651,735",39.04,38.34,58.34,98.82,29.80,3.60
"1 Week Ending May 18, 2003",20,"2,666,415",38.52,39.88,58.37,98.96,29.38,3.52
"1 Week Ending May 25, 2003",21,"2,656,240",39.48,25.25,57.65,98.87,29.29,3.58
"1 Week Ending Jun 1, 2003",22,"2,668,354",41.38,28.72,65.95,98.87,29.29,3.52
"1 Week Ending Jun 8, 2003",23,"2,733,240",38.78,30.63,69.17,98.90,29.73,3.55
"1 Week Ending Jun 15, 2003",24,"2,556,314",38.18,33.08,68.68,98.81,29.22,3.56
"1 Week Ending Jun 22, 2003",25,"2,598,975",36.90,34.78,67.53,98.78,29.13,3.47
"1 Week Ending Jun 29, 2003",26,"2,733,702",38.38,45.51,64.16,98.71,29.14,3.51
"1 Week Ending Jul 6, 2003",27,"2,658,518",41.41,31.37,67.22,98.80,29.28,3.52
"1 Week Ending Jul 13, 2003",28,"2,660,224",41.56,46.82,59.88,98.71,29.40,3.48
"1 Week Ending Jul 20, 2003",29,"2,645,904",45.40,33.56,65.68,98.81,29.74,3.51
"1 Week Ending Jul 27, 2003",30,"2,628,073",47.05,22.26,63.78,98.76,29.36,3.48
"1 Week Ending Aug 3, 2003",31,"2,703,862",46.68,28.19,70.48,98.87,30.24,3.50
"1 Week Ending Aug 10, 2003",32,"2,800,728",42.22,44.10,70.54,98.85,30.31,3.44
"1 Week Ending Aug 17, 2003",33,"2,755,793",37.45,46.92,69.50,98.91,29.90,3.46
"1 Week Ending Aug 24, 2003",34,"2,751,161",43.50,33.70,67.79,98.94,30.12,3.50
"1 Week Ending Aug 31, 2003",35,"2,720,391",42.81,29.97,71.06,98.85,30.07,3.54
"1 Week Ending Sep 7, 2003",36,"2,716,890",42.15,28.60,64.00,98.74,29.97,3.52
"1 Week Ending Sep 14, 2003",37,"2,828,543",42.20,44.98,65.42,98.78,30.25,3.49
"1 Week Ending Sep 21, 2003",38,"2,960,852",44.03,32.00,63.54,98.82,30.48,3.33
"1 Week Ending Sep 28, 2003",39,"2,793,960",43.89,39.68,63.72,98.70,30.26,3.52
"1 Week Ending Oct 5, 2003",40,"2,889,074",42.05,45.53,65.28,98.97,30.74,3.53
"1 Week Ending Oct 12, 2003",41,"2,653,619",42.57,36.23,64.82,98.79,30.22,3.58
"1 Week Ending Oct 19, 2003",42,"2,698,086",41.13,35.37,63.40,98.80,30.36,3.54
"1 Week Ending Oct 26, 2003",43,"2,767,921",39.56,48.09,63.06,98.77,30.34,3.59
"1 Week Ending Nov 2, 2003",44,"2,674,877",38.82,28.07,67.82,98.73,30.47,3.63
"1 Week Ending Nov 9, 2003",45,"2,937,993",35.52,48.12,65.46,98.83,31.19,3.64
"1 Week Ending Nov 16, 2003",46,"2,724,915",34.42,33.95,66.60,98.90,30.59,3.67
"1 Week Ending Nov 23, 2003",47,"2,713,891",31.09,15.75,65.70,98.89,30.37,3.68
"1 Week Ending Nov 30, 2003",48,"2,619,468",26.99,38.56,62.14,98.70,29.72,3.56
"1 Week Ending Dec 7, 2003",49,"2,865,570",27.93,36.05,58.78,98.77,30.88,3.56
"1 Week Ending Dec 14, 2003",50,"2,757,518",25.87,23.18,60.87,98.76,30.69,3.65
"1 Week Ending Dec 21, 2003",51,"2,903,863",25.67,34.32,52.79,98.81,31.05,3.58
"1 Week Ending Dec 28, 2003",52,"2,749,490",26.69,21.76,51.14,98.97,30.18,3.52
"1 Week Ending Jan 4, 2004",53,"2,882,445",33.98,57.64,57.55,98.88,31.05,3.72
"1 Week Ending Jan 11, 2004",54,"2,905,003",37.50,35.11,57.82,98.81,31.20,3.71
"1 Week Ending Jan 18, 2004",55,"2,812,501",40.80,26.85,55.78,98.79,30.78,3.70
"1 Week Ending Jan 25, 2004",56,"2,825,241",40.96,24.25,57.72,98.89,30.59,3.64
"1 Week Ending Feb 1, 2004",57,"2,774,301",41.54,30.90,67.63,98.91,30.67,3.67
"1 Week Ending Feb 8, 2004",58,"2,876,432",45.21,36.53,71.14,98.79,31.06,3.63
"1 Week Ending Feb 15, 2004",59,"3,080,894",39.50,44.96,69.98,98.80,30.95,3.64
"1 Week Ending Feb 22, 2004",60,"2,859,975",40.76,40.02,72.36,98.84,30.77,3.54
"1 Week Ending Feb 29, 2004",61,"2,895,243",40.33,35.11,70.73,98.64,30.81,3.53
"1 Week Ending Mar 7, 2004",62,"2,888,940",38.30,34.88,64.53,98.86,30.92,3.60
"1 Week Ending Mar 14, 2004",63,"2,800,253",38.81,39.74,67.13,98.97,30.31,3.63
"1 Week Ending Mar 21, 2004",64,"2,666,212",38.89,24.63,66.81,98.73,30.24,3.64
"1 Week Ending Mar 28, 2004",65,"2,694,017",36.55,37.64,60.30,98.75,30.25,3.60
"1 Week Ending Apr 4, 2004",66,"2,885,537",37.26,33.44,63.20,98.76,30.72,3.63
"1 Week Ending Apr 11, 2004",67,"2,758,883",38.85,29.55,60.94,98.69,30.67,3.65
"1 Week Ending Apr 18, 2004",68,"2,612,970",43.18,32.63,62.61,98.75,29.95,3.59
"1 Week Ending Apr 25, 2004",69,"2,714,173",40.63,34.02,59.09,98.70,30.46,3.60
"1 Week Ending May 2, 2004",70,"2,658,829",39.85,32.78,65.13,98.76,30.77,3.60
"1 Week Ending May 9, 2004",71,"2,740,288",41.89,47.87,63.16,98.84,31.12,3.60
"1 Week Ending May 16, 2004",72,"2,619,715",42.56,38.65,61.43,98.78,30.29,3.56
"1 Week Ending May 23, 2004",73,"2,751,677",40.29,41.87,62.90,98.78,30.63,3.50
"1 Week Ending May 30, 2004",74,"2,612,601",40.88,30.86,63.72,98.71,30.47,3.63
"1 Week Ending Jun 6, 2004",75,"2,618,252",38.24,45.62,61.95,98.80,30.61,3.58
"1 Week Ending Jun 13, 2004",76,"2,578,961",38.71,42.33,63.96,98.71,30.38,3.58
"1 Week Ending Jun 20, 2004",77,"2,979,842",41.40,33.88,67.32,98.87,30.88,3.59
"1 Week Ending Jun 27, 2004",78,"2,788,513",41.29,33.66,66.44,98.87,30.96,3.55
"1 Week Ending Jul 4, 2004",79,"2,886,341",41.91,38.63,68.84,99.02,31.42,3.55
"1 Week Ending Jul 11, 2004",80,"2,692,574",39.69,37.81,66.53,98.65,30.99,3.56
"1 Week Ending Jul 18, 2004",81,"2,837,333",42.86,38.82,65.30,98.86,31.30,3.56
"1 Week Ending Jul 25, 2004",82,"3,278,821",43.75,39.72,66.63,98.87,30.91,3.34
"1 Week Ending Aug 1, 2004",83,"2,902,542",49.00,31.15,68.19,98.93,31.42,3.50
"1 Week Ending Aug 8, 2004",84,"2,859,834",48.92,28.41,64.64,98.90,31.59,3.54
"1 Week Ending Aug 15, 2004",85,"2,866,048",49.94,23.91,66.20,98.88,31.47,3.54
"1 Week Ending Aug 22, 2004",86,"2,948,526",47.74,33.86,68.19,98.86,31.68,3.59
"1 Week Ending Aug 29, 2004",87,"2,902,844",48.79,28.98,67.96,98.76,31.52,3.51
"1 Week Ending Sep 5, 2004",88,"3,044,228",47.90,42.38,64.39,98.95,31.75,3.58
"1 Week Ending Sep 12, 2004",89,"2,849,997",50.19,46.97,67.49,98.84,31.24,3.60
"1 Week Ending Sep 19, 2004",90,"3,037,457",46.85,46.73,63.83,98.83,31.47,3.40
"1 Week Ending Sep 26, 2004",91,"2,756,395",50.61,40.24,68.20,98.89,30.99,3.59
"1 Week Ending Oct 3, 2004",92,"2,915,547",44.25,47.47,70.95,98.66,31.72,3.61
"1 Week Ending Oct 10, 2004",93,"2,760,299",45.26,43.20,68.56,98.76,31.45,3.60
"1 Week Ending Oct 17, 2004",94,"2,754,316",49.88,44.80,72.39,98.81,31.43,3.64
"1 Week Ending Oct 24, 2004",95,"3,269,499",46.39,43.58,72.38,98.84,31.22,3.52
"1 Week Ending Oct 31, 2004",96,"2,661,559",45.61,27.63,72.98,98.76,31.08,3.69
"1 Week Ending Nov 7, 2004",97,"2,775,129",42.11,29.51,71.42,98.72,31.53,3.64
"1 Week Ending Nov 14, 2004",98,"2,824,996",34.05,60.87,73.42,98.89,31.65,3.70
"1 Week Ending Nov 21, 2004",99,"2,804,922",35.33,42.70,67.52,98.81,31.27,3.66
"1 Week Ending Nov 28, 2004",100,"2,529,992",32.17,33.64,68.92,98.75,30.40,3.65
"1 Week Ending Dec 5, 2004",101,"2,886,009",27.68,38.27,68.50,98.89,31.57,3.66
"1 Week Ending Dec 12, 2004",102,"2,912,776",30.78,25.22,68.82,98.90,31.49,3.64
"1 Week Ending Dec 19, 2004",103,"3,058,655",27.27,42.59,66.98,98.73,32.18,3.60
"1 Week Ending Dec 26, 2004",104,"2,874,714",28.44,33.40,64.78,98.77,31.60,3.49
"1 Week Ending Jan 2, 2005",105,"2,860,553",35.65,35.50,66.87,98.87,31.79,3.72
"1 Week Ending Jan 9, 2005",106,"3,038,451",46.46,37.22,67.27,98.75,32.58,3.70
"1 Week Ending Jan 16, 2005",107,"3,132,372",44.76,36.80,75.37,98.83,32.21,3.72
"1 Week Ending Jan 23, 2005",108,"2,974,110",44.11,43.40,73.28,98.79,31.20,3.63
"1 Week Ending Jan 30, 2005",109,"3,010,193",45.04,49.62,72.64,98.73,31.19,3.55
"1 Week Ending Feb 6, 2005",110,"3,138,796",48.70,40.83,70.78,98.74,32.06,3.61
"1 Week Ending Feb 13, 2005",111,"3,150,505",54.05,45.68,71.59,98.70,31.29,3.64
"1 Week Ending Feb 20, 2005",112,"3,167,281",57.24,41.27,71.62,98.92,31.54,3.52
"1 Week Ending Feb 27, 2005",113,"3,195,814",51.18,51.14,72.18,98.93,30.95,3.48
"1 Week Ending Mar 6, 2005",114,"3,000,847",53.70,21.34,67.46,98.88,31.25,3.63
"1 Week Ending Mar 13, 2005",115,"2,897,475",53.17,37.75,65.84,99.00,30.98,3.65
"1 Week Ending Mar 20, 2005",116,"3,027,864",57.77,42.11,70.22,98.87,31.27,3.69
"1 Week Ending Mar 27, 2005",117,"2,988,122",53.01,48.74,66.61,98.81,31.80,3.66
"1 Week Ending Apr 3, 2005",118,"2,985,593",68.79,43.12,72.63,98.65,31.78,3.67
"1 Week Ending Apr 10, 2005",119,"3,697,839",68.23,49.16,76.31,99.00,32.72,3.76
"1 Week Ending Apr 17, 2005",120,"3,009,122",69.71,30.45,77.53,98.78,32.18,3.68
"1 Week Ending Apr 24, 2005",121,"2,943,742",69.64,41.53,76.25,98.72,32.01,3.62
"1 Week Ending May 1, 2005",122,"3,061,224",70.03,49.17,78.32,98.76,32.49,3.54
"1 Week Ending May 8, 2005",123,"3,050,416",65.89,53.07,76.16,98.72,32.64,3.63
"1 Week Ending May 15, 2005",124,"2,980,511",60.12,52.84,76.58,98.85,32.03,3.60
"1 Week Ending May 22, 2005",125,"3,121,947",67.76,39.31,75.80,98.79,32.39,3.62
"1 Week Ending May 29, 2005",126,"2,964,422",67.53,44.08,73.07,98.87,32.34,3.63
"1 Week Ending Jun 5, 2005",127,"2,841,868",60.45,38.94,74.46,98.80,32.39,3.66
"1 Week Ending Jun 12, 2005",128,"2,975,411",59.38,55.66,73.99,98.70,32.88,3.71
"1 Week Ending Jun 19, 2005",129,"3,018,517",60.62,47.57,76.32,98.90,32.80,3.68
"1 Week Ending Jun 26, 2005",130,"2,957,845",59.30,46.65,74.24,98.85,32.63,3.62
"1 Week Ending Jul 3, 2005",131,"2,991,425",60.78,46.09,74.95,98.60,32.99,3.64
"1 Week Ending Jul 10, 2005",132,"2,928,858",63.74,51.91,73.90,98.77,32.46,3.64
"1 Week Ending Jul 17, 2005",133,"2,956,602",65.55,34.82,74.18,98.80,32.81,3.65
"1 Week Ending Jul 24, 2005",134,"2,966,295",66.75,42.71,72.23,98.80,33.00,3.66
"1 Week Ending Jul 31, 2005",135,"3,021,804",65.51,38.77,73.60,98.79,33.28,3.72
"1 Week Ending Aug 7, 2005",136,"3,128,015",58.21,60.51,73.82,98.91,33.64,3.65
"1 Week Ending Aug 14, 2005",137,"3,073,045",66.60,36.68,73.02,98.82,32.99,3.75
"1 Week Ending Aug 21, 2005",138,"3,156,430",66.84,43.81,71.68,98.90,33.22,3.69
"1 Week Ending Aug 28, 2005",139,"3,081,746",66.65,46.03,70.55,98.67,33.15,3.71
"1 Week Ending Sep 4, 2005",140,"3,046,383",65.05,26.38,67.93,97.95,33.70,3.73
"1 Week Ending Sep 11, 2005",141,"3,108,237",63.24,44.03,76.37,98.25,33.69,3.71
"1 Week Ending Sep 18, 2005",142,"3,306,754",63.75,68.91,75.22,98.45,33.96,3.49
"1 Week Ending Sep 25, 2005",143,"2,901,516",59.92,41.06,72.42,98.57,33.21,3.72
"1 Week Ending Oct 2, 2005",144,"2,965,685",57.97,53.11,73.73,98.64,33.31,3.73
"1 Week Ending Oct 9, 2005",145,"2,946,798",57.46,37.33,76.31,98.47,33.82,3.73
"1 Week Ending Oct 16, 2005",146,"2,905,533",57.29,56.47,75.12,98.61,33.28,3.72
"1 Week Ending Oct 23, 2005",147,"2,794,889",55.40,49.17,73.53,98.76,33.27,3.77
"1 Week Ending Oct 30, 2005",148,"2,738,053",50.41,38.63,74.87,98.68,32.72,3.77
"1 Week Ending Nov 6, 2005",149,"2,968,816",42.25,61.50,76.64,98.62,33.29,3.75
"1 Week Ending Nov 13, 2005",150,"2,885,713",42.02,47.15,75.41,98.79,33.04,3.81
"1 Week Ending Nov 20, 2005",151,"2,842,927",38.30,37.89,73.18,98.83,32.91,3.78
"1 Week Ending Nov 27, 2005",152,"2,602,180",33.61,39.10,68.45,98.65,31.95,3.82
"1 Week Ending Dec 4, 2005",153,"2,949,056",32.66,48.11,73.65,98.87,33.42,3.76
"1 Week Ending Dec 11, 2005",154,"2,807,853",32.76,29.90,70.20,98.82,32.74,3.84
"1 Week Ending Dec 18, 2005",155,"2,972,083",30.15,39.44,69.61,98.82,33.30,3.73
"1 Week Ending Dec 25, 2005",156,"3,295,590",30.21,42.99,63.73,98.98,34.34,3.55
"1 Week Ending Jan 1, 2006",157,"2,807,771",42.11,47.92,66.37,98.69,32.72,3.82
"1 Week Ending Jan 8, 2006",158,"3,043,231",52.25,45.42,68.58,98.83,33.69,3.84
"1 Week Ending Jan 15, 2006",159,"3,309,494",51.62,38.31,78.27,98.66,33.94,3.76
"1 Week Ending Jan 22, 2006",160,"3,014,102",52.51,40.29,72.38,98.88,33.49,3.79
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
